American Community Survey (ACS) Data Time Period,Borough,Borough Community District Code,Community District Name,Language,LEP Population (Estimate),% of LEP Population,CVALEP Population (Estimate),% of CVALEP Population
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Bulgarian,87.0,0.2,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Burmese,23.0,0.0,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham","Chinese (incl. Mandarin, Cantonese)",204.0,0.4,65.0,0.4
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Farsi,35.0,0.1,35.0,0.2
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Filipino,159.0,0.3,99.0,0.6
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",French,545.0,1.2,231.0,1.3
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Fulah,172.0,0.4,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Gbe languages,19.0,0.0,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",German,66.0,0.1,14.0,0.1
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Greek,20.0,0.0,20.0,0.1
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Gujarati,28.0,0.1,28.0,0.2
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Haitian,305.0,0.7,49.0,0.3
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Hindi,68.0,0.1,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Khmer,82.0,0.2,82.0,0.5
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Korean,365.0,0.8,260.0,1.5
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Manding languages,114.0,0.2,18.0,0.1
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Nepali,62.0,0.1,27.0,0.2
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Other Bantu languages,50.0,0.1,34.0,0.2
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Other Mande languages,23.0,0.0,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Other and unspecified languages,13.0,0.0,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Russian,124.0,0.3,104.0,0.6
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Serbian,111.0,0.2,49.0,0.3
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Serbocroatian,22.0,0.0,22.0,0.1
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Shona,121.0,0.3,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Spanish,39255.0,84.9,14792.0,84.6
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Tagalog,11.0,0.0,11.0,0.1
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Tamil,98.0,0.2,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Telugu,7.0,0.0,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Thai,76.0,0.2,64.0,0.4
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Urdu,263.0,0.6,75.0,0.4
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Vietnamese,295.0,0.6,230.0,1.3
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Wolof,86.0,0.2,0.0,0.0
2015-2019,Bronx,207,"Bedford Park, Norwood, Fordham",Yoruba,38.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Akan (incl. Twi),281.0,1.2,204.0,1.7
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Albanian,178.0,0.8,155.0,1.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Amharic,65.0,0.3,41.0,0.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Arabic,79.0,0.3,39.0,0.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Assyrian Neo-Aramaic,12.0,0.1,12.0,0.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Bengali,121.0,0.5,30.0,0.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Bosnian,43.0,0.2,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Bulgarian,12.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Cebuano,32.0,0.1,32.0,0.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill","Chinese (incl. Mandarin, Cantonese)",444.0,1.9,277.0,2.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Dari,32.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Farsi,20.0,0.1,20.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Filipino,7.0,0.0,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",French,201.0,0.9,165.0,1.4
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Ga,14.0,0.1,14.0,0.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",German,63.0,0.3,63.0,0.5
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Greek,343.0,1.5,294.0,2.5
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Hebrew,79.0,0.3,52.0,0.4
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Hindi,109.0,0.5,83.0,0.7
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Italian,101.0,0.4,74.0,0.6
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Jamaican Creole English,5.0,0.0,5.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Japanese,182.0,0.8,35.0,0.3
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Konkani,6.0,0.0,6.0,0.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Korean,359.0,1.5,257.0,2.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Latvian,23.0,0.1,23.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Malayalam,13.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Manding languages,18.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Min Nan Chinese,36.0,0.2,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Other Bantu languages,15.0,0.1,15.0,0.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Other Central and South American languages,13.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Other Mande languages,3.0,0.0,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Polish,79.0,0.3,79.0,0.7
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Russian,685.0,3.0,577.0,4.9
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Serbian,78.0,0.3,25.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Serbocroatian,23.0,0.1,23.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Spanish,18879.0,81.5,8991.0,75.9
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Swedish,24.0,0.1,24.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Tagalog,65.0,0.3,21.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Tamil,14.0,0.1,14.0,0.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Turkish,27.0,0.1,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Ukrainian,255.0,1.1,135.0,1.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Urdu,26.0,0.1,26.0,0.2
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Vietnamese,69.0,0.3,0.0,0.0
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Yiddish,10.0,0.0,10.0,0.1
2015-2019,Bronx,208,"Riverdale, Kingsbridge, Marble Hill",Yoruba,31.0,0.1,31.0,0.3
2015-2019,Bronx,209,"Soundview, Parkchester",Akan (incl. Twi),349.0,0.8,87.0,0.4
2015-2019,Bronx,209,"Soundview, Parkchester",Albanian,101.0,0.2,51.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",Amharic,144.0,0.3,112.0,0.5
2015-2019,Bronx,209,"Soundview, Parkchester",Arabic,724.0,1.7,274.0,1.3
2015-2019,Bronx,209,"Soundview, Parkchester",Armenian,90.0,0.2,50.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",Bengali,5273.0,12.3,2555.0,12.4
2015-2019,Bronx,209,"Soundview, Parkchester","Chinese (incl. Mandarin, Cantonese)",734.0,1.7,503.0,2.4
2015-2019,Bronx,209,"Soundview, Parkchester",Filipino,50.0,0.1,50.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",French,681.0,1.6,207.0,1.0
2015-2019,Bronx,209,"Soundview, Parkchester",Fulah,114.0,0.3,0.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Ga,64.0,0.1,42.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",Gbe languages,11.0,0.0,0.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Haitian,110.0,0.3,82.0,0.4
2015-2019,Bronx,209,"Soundview, Parkchester",Hebrew,82.0,0.2,20.0,0.1
2015-2019,Bronx,209,"Soundview, Parkchester",Hindi,6.0,0.0,6.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Hungarian,8.0,0.0,8.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Igbo,161.0,0.4,69.0,0.3
2015-2019,Bronx,209,"Soundview, Parkchester",Italian,94.0,0.2,94.0,0.5
2015-2019,Bronx,209,"Soundview, Parkchester",Korean,91.0,0.2,59.0,0.3
2015-2019,Bronx,209,"Soundview, Parkchester",Malayalam,18.0,0.0,8.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Manding languages,28.0,0.1,0.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Other Central and South American languages,12.0,0.0,0.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Other Mande languages,286.0,0.7,60.0,0.3
2015-2019,Bronx,209,"Soundview, Parkchester",Other languages of Africa,11.0,0.0,0.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Pashto,14.0,0.0,14.0,0.1
2015-2019,Bronx,209,"Soundview, Parkchester",Polish,8.0,0.0,8.0,0.0
2015-2019,Bronx,209,"Soundview, Parkchester",Portuguese,43.0,0.1,27.0,0.1
2015-2019,Bronx,209,"Soundview, Parkchester",Punjabi,45.0,0.1,45.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",Spanish,32788.0,76.4,15867.0,76.7
2015-2019,Bronx,209,"Soundview, Parkchester",Tagalog,201.0,0.5,130.0,0.6
2015-2019,Bronx,209,"Soundview, Parkchester",Thai,18.0,0.0,18.0,0.1
2015-2019,Bronx,209,"Soundview, Parkchester",Urdu,227.0,0.5,106.0,0.5
2015-2019,Bronx,209,"Soundview, Parkchester",Vietnamese,103.0,0.2,48.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",Wolof,147.0,0.3,44.0,0.2
2015-2019,Bronx,209,"Soundview, Parkchester",Yiddish,54.0,0.1,16.0,0.1
2015-2019,Bronx,209,"Soundview, Parkchester",Yoruba,47.0,0.1,20.0,0.1
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Akan (incl. Twi),81.0,0.6,38.0,0.3
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Albanian,102.0,0.7,39.0,0.3
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Arabic,78.0,0.5,57.0,0.5
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Bengali,118.0,0.8,0.0,0.0
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Bosnian,66.0,0.5,50.0,0.4
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay","Chinese (incl. Mandarin, Cantonese)",461.0,3.2,318.0,2.8
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Edoid languages,9.0,0.1,0.0,0.0
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Filipino,194.0,1.3,194.0,1.7
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",French,277.0,1.9,213.0,1.8
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Gbe languages,40.0,0.3,0.0,0.0
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",German,31.0,0.2,20.0,0.2
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Greek,195.0,1.3,156.0,1.3
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Haitian,133.0,0.9,103.0,0.9
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Hebrew,15.0,0.1,0.0,0.0
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Igbo,23.0,0.2,23.0,0.2
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Indonesian,21.0,0.1,21.0,0.2
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Italian,1256.0,8.6,1027.0,8.9
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Khmer,18.0,0.1,0.0,0.0
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Korean,249.0,1.7,200.0,1.7
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Malayalam,33.0,0.2,14.0,0.1
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Other Afro-Asiatic languages,35.0,0.2,0.0,0.0
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Polish,122.0,0.8,122.0,1.1
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Russian,269.0,1.8,269.0,2.3
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Serbocroatian,50.0,0.3,50.0,0.4
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Spanish,10124.0,69.6,8260.0,71.5
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Tagalog,44.0,0.3,14.0,0.1
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Tamil,45.0,0.3,45.0,0.4
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Thai,37.0,0.3,37.0,0.3
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Urdu,175.0,1.2,175.0,1.5
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Vietnamese,151.0,1.0,49.0,0.4
2015-2019,Bronx,210,"Throgs Nk., Co-op City, Pelham Bay",Yoruba,98.0,0.7,66.0,0.6
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Akan (incl. Twi),58.0,0.2,29.0,0.2
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Albanian,1986.0,7.2,963.0,6.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Amharic,82.0,0.3,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Arabic,1336.0,4.8,545.0,3.5
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Bengali,827.0,3.0,367.0,2.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Bosnian,64.0,0.2,54.0,0.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Bulgarian,22.0,0.1,9.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Cebuano,8.0,0.0,8.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia","Chinese (incl. Mandarin, Cantonese)",968.0,3.5,621.0,3.9
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Croatian,174.0,0.6,106.0,0.7
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Edoid languages,17.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Filipino,193.0,0.7,89.0,0.6
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",French,269.0,1.0,35.0,0.2
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Fulah,67.0,0.2,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Ganda,37.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",German,14.0,0.1,14.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Greek,62.0,0.2,53.0,0.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Gujarati,17.0,0.1,17.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Haitian,143.0,0.5,91.0,0.6
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Hebrew,28.0,0.1,19.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Hindi,64.0,0.2,55.0,0.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Hungarian,195.0,0.7,173.0,1.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Igbo,103.0,0.4,92.0,0.6
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Italian,1046.0,3.8,717.0,4.6
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Jamaican Creole English,60.0,0.2,53.0,0.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Japanese,10.0,0.0,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Khmer,301.0,1.1,301.0,1.9
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Korean,280.0,1.0,166.0,1.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Lithuanian,18.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Macedonian,147.0,0.5,22.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Malayalam,41.0,0.1,26.0,0.2
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Min Nan Chinese,12.0,0.0,12.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Nepali,33.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Nilo-Saharan languages,19.0,0.1,19.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Other Afro-Asiatic languages,21.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Other Bantu languages,51.0,0.2,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Other Central and South American languages,17.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Other English-based Creole languages,8.0,0.0,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Other Niger-Congo languages,44.0,0.2,18.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Pashto,38.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Punjabi,181.0,0.7,126.0,0.8
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Russian,634.0,2.3,487.0,3.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Serbocroatian,18.0,0.1,10.0,0.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Shona,35.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Slovak,43.0,0.2,31.0,0.2
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Spanish,16124.0,58.4,9342.0,59.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Tagalog,303.0,1.1,187.0,1.2
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Telugu,9.0,0.0,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Thai,54.0,0.2,54.0,0.3
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Ukrainian,28.0,0.1,0.0,0.0
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Urdu,272.0,1.0,180.0,1.1
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Vietnamese,956.0,3.5,662.0,4.2
2015-2019,Bronx,211,"Pelham Pkwy, Morris Park, Laconia",Yoruba,62.0,0.2,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Akan (incl. Twi),571.0,3.7,316.0,4.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Albanian,320.0,2.1,113.0,1.4
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Aleut languages,21.0,0.1,21.0,0.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Arabic,105.0,0.7,23.0,0.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Bengali,189.0,1.2,106.0,1.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge","Chinese (incl. Mandarin, Cantonese)",212.0,1.4,103.0,1.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Dutch,15.0,0.1,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Edoid languages,21.0,0.1,21.0,0.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Filipino,41.0,0.3,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",French,505.0,3.3,287.0,3.6
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Fulah,378.0,2.5,66.0,0.8
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Ga,13.0,0.1,13.0,0.2
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Greek,45.0,0.3,45.0,0.6
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Gujarati,15.0,0.1,15.0,0.2
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Haitian,216.0,1.4,195.0,2.4
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Hungarian,34.0,0.2,34.0,0.4
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Igbo,104.0,0.7,74.0,0.9
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Irish,8.0,0.1,8.0,0.1
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Italian,99.0,0.6,90.0,1.1
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Jamaican Creole English,268.0,1.8,197.0,2.5
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Khmer,445.0,2.9,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Korean,58.0,0.4,50.0,0.6
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Manding languages,32.0,0.2,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Other English-based Creole languages,40.0,0.3,23.0,0.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Other Indo-European languages,29.0,0.2,29.0,0.4
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Other Niger-Congo languages,116.0,0.8,64.0,0.8
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Other languages of Africa,24.0,0.2,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Pennsylvania German,12.0,0.1,12.0,0.2
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Polish,75.0,0.5,38.0,0.5
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Portuguese,21.0,0.1,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Sinhala,80.0,0.5,22.0,0.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Spanish,10742.0,70.2,5878.0,73.6
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Tagalog,22.0,0.1,22.0,0.3
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Ukrainian,17.0,0.1,17.0,0.2
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Urdu,91.0,0.6,46.0,0.6
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Wolof,142.0,0.9,0.0,0.0
2015-2019,Bronx,212,"Wakefield, Williamsbridge",Yoruba,167.0,1.1,59.0,0.7
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Albanian,80.0,0.3,65.0,0.4
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Amharic,35.0,0.1,35.0,0.2
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Arabic,88.0,0.3,15.0,0.1
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Bengali,371.0,1.2,145.0,0.8
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint","Chinese (incl. Mandarin, Cantonese)",3344.0,10.8,1963.0,11.3
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Dari,26.0,0.1,26.0,0.1
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Dutch,80.0,0.3,80.0,0.5
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Farsi,15.0,0.0,7.0,0.0
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",French,112.0,0.4,9.0,0.1
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",German,50.0,0.2,6.0,0.0
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Greek,3.0,0.0,3.0,0.0
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Haitian,11.0,0.0,11.0,0.1
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Hebrew,414.0,1.3,250.0,1.4
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Hindi,49.0,0.2,0.0,0.0
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Hungarian,66.0,0.2,41.0,0.2
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Italian,230.0,0.7,146.0,0.8
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Japanese,56.0,0.2,27.0,0.2
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Karen languages,41.0,0.1,0.0,0.0
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Korean,67.0,0.2,16.0,0.1
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Lithuanian,23.0,0.1,0.0,0.0
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Min Nan Chinese,80.0,0.3,46.0,0.3
2015-2019,Brooklyn,301,"Williamsburg, Greenpoint",Nepali,83.0,0.3,0.0,0.0
