id,language,value,Chai,description,latitude,longitude,genus,family,Form,In Script,Script_Form
ice,Icelandic,2,2,Words derived from Min Nan Chinese te,65,-17,Germanic,Indo-European,tʰɛ,te,te
smn,Inari Sami,2,2,,69.42,27.87,,Uralic,t͡ʃeː,,Variant of te
ind,Indonesian,2,2,Words derived from Min Nan Chinese te,0,106,Malayo-Sumbawan,Austronesian,,teh,teh
ing,Ingush,1,0,Words derived from Sinitic cha,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,chay,чай,чай (chay)
Iraqw,Iraqw,,,,-4,35.5,,Afro-Asiatic,chay,,
iri,Irish,2,2,Words derived from Min Nan Chinese te,53,-8,Celtic,Indo-European,t̪ˠeː,tae,tae
ita,Italian,2,2,Words derived from Min Nan Chinese te,43,12,Romance,Indo-European,tɛ,tè,tè
itl,Itelmen,1,0,,56.78,156.91,,Chukotko-Kamchatkan,t͡ʃaj,, (t͡ʃaj)
inu,Iñupiaq,3,3,Others,67,-161,Eskimo,Eskimo-Aleut,saiyu,,saiyu
jpn,Japanese,1,1,Words derived from Sinitic cha,37,140,Japanese,Japanese,cha,茶/おちゃ,茶/おちゃ (cha)
jav,Javanese,2,2,Words derived from Min Nan Chinese te,-7,111,Javanese,Austronesian,,tèh,tèh
Jianchuan,Jianchuan,,,,26.5536208,100.1396921,,Sino-Tibetan,tsou²¹,,
Jinan,Jinan,,,,36.690777,116.997299,,Sino-Tibetan,tʂʰa⁴²,,
Jingpho,Jingpho,,,,25.461826,97.329866,,Sino-Tibetan,hpa◦lap,,
Jiongnai,Jiongnai,,,,24.071002,110.105752,,Hmong-Mien,tʃi³¹,,
jmo,Jur Mödö,1,1,Words derived from Sinitic cha,6,30,Bongo-Bagirmi,Central Sudanic,,,Variant of cha/chai
juh,Ju|'hoan,2,2,Words derived from Min Nan Chinese te,-19,21,Ju-Kung,Kxa,,,Variant of te
kab,Kabardian,1,0,Words derived from Sinitic cha,43.5,43.5,Northwest Caucasian,Northwest Caucasian,shay,шай,шай (shay)
kbl,Kabyle,3,3,Others,36.5,5,Berber,Afro-Asiatic,atay,,atay
kal,Kalaallisut,2,2,,69.38,-52.86,,Eskimo-Aleut,t͡siː,tii,tii
Kalina,Kali'na,,,,5.5,-56,,Cariban,asinpan,,
kmk,Kalmyk,1,0,Words derived from Sinitic cha,44,83,Mongolic,Altaic,t͡sʰæ,цә,цә (t͡sʰæ)
kan,Kannada,1,0,,13.59,76.12,,Dravidian,t͡ʃəha,ಚಹಾ,ಚಹಾ (t͡ʃəha)
knr,Kanuri,2,2,Words derived from Min Nan Chinese te,12,13,Western Saharan,Saharan,tî,,tî
krm,Karaim,1,1,Words derived from Sinitic cha,54.66666667,24.91666667,Turkic,Altaic,,,Variant of cha/chai
kkp,Karakalpak,1,0,Words derived from Sinitic cha,43,60,Turkic,Altaic,,chay,chay
ksg,Karen (Sgaw),3,3,Others,18,97,Karen,Sino-Tibetan,la pa tee,လါဖးထံ,လါဖးထံ (la pa tee)
krk,Karok,3,3,Others,41.66666667,-123,Karok,Karok,,,Other Variant
kaz,Kazakh,1,0,Words derived from Sinitic cha,50,70,Turkic,Altaic,ʃɑj,шай,шай (ʃɑj)
Kazhuo,Kazhuo,,,,24.1478565,102.6653471,,Sino-Tibetan,sa³⁵ji³²³tɕha³¹,,
keu,Kenyah (Uma' Lung),2,2,Words derived from Min Nan Chinese te,3,115.8333333,North Borneo,Austronesian,,,Variant of te
ket,Ket,3,3,Others,64,87,Yeniseian,Yeniseian,saˀj,, (saˀj)
khk,Khakas,1,0,Words derived from Sinitic cha,53,90,Turkic,Altaic,chay,чай,чай (chay)
kha,Khalkha,1,1,Words derived from Sinitic cha,47,105,Mongolic,Altaic,,,Variant of cha/chai
khk,Khalkha Mongolian,1,0,,48.32,106.29,,Mongolic-Khitan,t͡sʰaːi̯,цай,цай (t͡sʰaːi̯)
khs,Khasi,1,1,Words derived from Sinitic cha,25.5,92,Khasian,Austro-Asiatic,sha,sha,sha (sha)
khm,Khmer,2,2,Words derived from Min Nan Chinese te,12.5,105,Khmer,Austro-Asiatic,tae,តែ,តែ (tae)
kik,Kikuyu,1,1,Words derived from Sinitic cha,-0.75,36.75,Bantoid,Niger-Congo,,,Variant of cha/chai
KildinSaami,Kildin Saami,1,0,,67,37,,Uralic,čajj,чай,чай (čajj)
KimMun,Kim Mun,,,,18.955781,109.86012,,Hmong-Mien,tʃa³³,,
kin,Kinyarwanda,1,1,Words derived from Sinitic cha,-2,30,Bantoid,Niger-Congo,,icyayi,icyayi
kgz,Kirghiz,1,1,Words derived from Sinitic cha,42,75,Turkic,Altaic,,,Variant of cha/chai
koi,Koiari,2,2,Words derived from Min Nan Chinese te,-9.5,147.3333333,Koiarian,Trans-New Guinea,,,Variant of te
koi,Komi-Permyak,1,0,,59.66,54.8,,Uralic,t͡ɕaj,чай ,чай  (t͡ɕaj)
kpv,Komi-Zyrian,1,0,,64.05,54.95,,Uralic,t͡ɕɑj,шай,шай (t͡ɕɑj)
kkn,Konkani,1,1,Words derived from Sinitic cha,15.25,74,Indic,Indo-European,cha,चा,चा (cha)
Konyak,Konyak,,,,26.55,95.05,,Sino-Tibetan,khelep,,
KopoGepo,Kopo (Gepo),,,,25.51563431,102.4630191,,Sino-Tibetan,lo̱²¹,,
kor,Korean,1,1,Words derived from Sinitic cha,37.5,128,Korean,Korean,ca,차(茶),차(茶) (ca)
kry,Koryak,1,0,Words derived from Sinitic cha,61,167,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,t͡ʃaj,Чай,Чай (t͡ʃaj)
kos,Kosraean,2,2,Words derived from Min Nan Chinese te,5.3,163,Oceanic,Austronesian,,,Variant of te
kse,Koyraboro Senni,3,3,Others,16,0,Songhay,Songhay,,,Other Variant
kro,Krongo,1,1,Words derived from Sinitic cha,10.5,30,Kadugli,Kadu,,,Variant of cha/chai
HedongKuaNsi,Kua-nsi (Hedong),,,,25.2871677,99.2546745,,Sino-Tibetan,tsu²¹,,
Kuansi,Kuansi,,,,26.33305556,100.25,,Sino-Tibetan,tsu²¹,,
kuq,Kumyk,1,0,Words derived from Sinitic cha,43,47.33333333,Turkic,Altaic,chay,чай,чай (chay)
kjn,Kunjen,3,3,Others,-16.5,142.5,Northern Pama-Nyungan,Pama-Nyungan,,,Other Variant
Kunming,Kunming,,,,25.049711,102.72274,,Sino-Tibetan,tʂʰa³¹,,
kji,Kurmanji,1,1,Words derived from Sinitic cha,38,42,Iranian,Indo-European,,,Variant of cha/chai
lad,Ladakhi,3,3,Others,34,78,Bodic,Sino-Tibetan,,,Other Variant
lbe,Lak,1,0,,42.13,47.08,,Nakh-Daghestanian,t͡ʃjaj,чяй,чяй (t͡ʃjaj)
lmp,Lampung,2,2,Words derived from Min Nan Chinese te,-5,105,Lampungic,Austronesian,,,Variant of te
Lanping,Lanping,,,,26.5158555,99.2581092,,Sino-Tibetan,tsao²¹,,
lao,Lao,3,3,Others,18,103,Kam-Tai,Tai-Kadai,sā,ຊາ,ຊາ (sā)
LaowuNisu,Laowu Nisu,,,,25.74329166,99.57814539,,Sino-Tibetan,lu¹³,,
lat,Latin,2,2,,41.9,12.45,,Indo-European,thɛa,thea,thea
lat,Latvian,2,2,Words derived from Min Nan Chinese te,57,24,Baltic,Indo-European,teːjɑ,tēja,tēja
lcr,Lesser Antillean French Creole,1,1,Words derived from Sinitic cha,15,-61.16666667,Creoles and Pidgins,other,,,Variant of cha/chai
lez,Lezgian,1,0,,41.52,47.9,,Nakh-Daghestanian,t͡ʃaj,Чай,Чай (t͡ʃaj)
Liangmai,Liangmai,,,,25.3667,93.6333,,Sino-Tibetan,tacha,,
Limi,Limi,,,,24.2046473,99.70780531,,Sino-Tibetan,la²¹pʰo²¹,,
lin,Lingala,2,2,Words derived from Min Nan Chinese te,2,18.5,Bantoid,Niger-Congo,,,Variant of te
lis,Lisu,3,3,Others,26,98,Burmese-Lolo,Sino-Tibetan,la,,la
lit,Lithuanian,3,3,Others,55,24,Baltic,Indo-European,ɐrbɐtɑ̂,arbata,arbata
liv,Livonian,2,2,,57.57,22.03,,Uralic,tɛːj,tech,tech
lon,Loniu,3,3,Others,-2.066666667,147.3333333,Oceanic,Austronesian,,,Other Variant
Lotha,Lotha,,,,26.1,94.2667,,Sino-Tibetan,lo◦mo◦soko,,
LowerSorbian,Lower Sorbian,1,0,,51.75,14.3333,,Indo-European,tej,,Variant of cha/chai
lda,Luganda,1,1,Words derived from Sinitic cha,0.5,32.16666667,Bantoid,Niger-Congo,,caayi,caayi
smj,Lule Sami,2,2,,67.28,17.81,,Uralic,tɛd͡ʒɑ,, (tɛd͡ʒɑ)
luo,Luo,1,1,Words derived from Sinitic cha,-0.5,34.75,Nilotic,Eastern Sudanic,,,Variant of cha/chai
Luobenzhuo,Luobenzhuo,,,,26.4240223,98.8862088,,Sino-Tibetan,ca²¹,,
EasternLuobuohe,"Luobuohe, Eastern",,,,26.63966,107.913354,,Hmong-Mien,ʔa⁰²ʑi⁵⁵,,
LuowuNisu,Luowu Nisu,,,,24.55990379,101.7955965,,Sino-Tibetan,lo⁵⁵,,
Lushai,Lushai,,,,22.60535,92.629457,,Sino-Tibetan,thingpui,,
lux,Luxemburgeois,2,2,Words derived from Min Nan Chinese te,49.83333333,6.166666667,Germanic,Indo-European,,téi,téi
mdr,Madurese,2,2,Words derived from Min Nan Chinese te,-7,113.5,Malayo-Sumbawan,Austronesian,,,Variant of te
mks,Makassar,2,2,Words derived from Min Nan Chinese te,-5.416666667,119.5833333,South Sulawesi,Austronesian,,,Variant of te
mal,Malagasy,2,2,Words derived from Min Nan Chinese te,-20,47,Barito,Austronesian,dite,dite,dite
mym,Malayalam,1,0,Words derived from Sinitic cha,10,76.5,Southern Dravidian,Dravidian,t͡ʃaːja,ചായ,ചായ (t͡ʃaːja)
mlt,Maltese,2,2,Words derived from Min Nan Chinese te,35.91666667,14.41666667,Semitic,Afro-Asiatic,te,te,te
Manange,Manange,,,,28,84.25,,Sino-Tibetan,3tʃe,,
mnc,Manchu,1,0,,47.31,126.56,,Tungusic,t͡ʃai,ᠴᠠᡥᠠ,ᠴᠠᡥᠠ (t͡ʃai)
mnd,Mandarin,1,1,Words derived from Sinitic cha,34,110,Chinese,Sino-Tibetan,cha2,茶,茶 (cha2)
Mangdi,Mangdi,,,,23.5,99.33,,Sino-Tibetan,la²¹pʰo²¹,,
Manipuri,Manipuri,1,1,,24.44,93.34,,Sino-Tibetan,cha,, (cha)
mao,Maori,2,2,Words derived from Min Nan Chinese te,-40,176,Oceanic,Austronesian,,tī,tī
Mapudungun,Mapudungun,2,2,,-38,-72,,Araucanian,te,,te
mku,Maranungku,3,3,Others,-13.66666667,130,Wagaydy,Western Daly,,,Other Variant
mhi,Marathi,1,1,Words derived from Sinitic cha,19,76,Indic,Indo-European,chaha,चहा,चहा (chaha)
mme,Mari (Meadow),1,0,Words derived from Sinitic cha,57,48,Mari,Uralic,t͡ʃɑj,чай ,чай  (t͡ʃɑj)
msh,Marshallese,2,2,Words derived from Min Nan Chinese te,7.116666667,171.05,Oceanic,Austronesian,,,Variant of te
mby,Mbay,1,0,Words derived from Sinitic cha,8.25,17.5,Bongo-Bagirmi,Central Sudanic,,,Variant of cha/chai
Meixian,Meixian,,,,24.3522958,115.8903375,,Sino-Tibetan,tsʰa¹²,,
mnt,Mentawai,2,2,Words derived from Min Nan Chinese te,-1.5,99,Northwest Sumatra-Barrier Islands,Austronesian,,,Variant of te
Mien,Mien,,,,24.172823,110.054488,,Hmong-Mien,tsa³¹,,
Mikir,Mikir,,,,25.735084,93.050494,,Sino-Tibetan,sa,,
min,Minangkabau,2,2,Words derived from Min Nan Chinese te,-1,101,Malayo-Sumbawan,Austronesian,,,Variant of te
mss,Miwok (Southern Sierra),2,2,Words derived from Min Nan Chinese te,37.5,-120,Miwok,Penutian,,,Variant of te
mdf,Moksha,1,0,,54.19,42.67,,Uralic,t͡ɕaj,чай,чай (t͡ɕaj)
