id,language,value,Chai,description,latitude,longitude,genus,family,Form,In Script,Script_Form
sra,Sranan,2,2,Words derived from Min Nan Chinese te,5.833333333,-55.33333333,Creoles and Pidgins,other,,,Variant of te
sun,Sundanese,2,2,Words derived from Min Nan Chinese te,-7,107,Malayo-Sumbawan,Austronesian,teh,ᮈᮔ᮪ᮒᮦᮂ,ᮈᮔ᮪ᮒᮦᮂ (teh)
Suzhou,Suzhou,,,,31.3280439,120.364116,,Sino-Tibetan,zo²⁴,,
swa,Swahili,1,0,Words derived from Sinitic cha,-6.5,39,Bantoid,Niger-Congo,chai,chai,chai
swe,Swedish,2,2,Words derived from Min Nan Chinese te,60,15,Germanic,Indo-European,teː,te,te
tag,Tagalog,1,1,Words derived from Sinitic cha,15,121,Greater Central Philippine,Austronesian,,tsaa,tsaa
tah,Tahitian,2,2,Words derived from Min Nan Chinese te,-17.66666667,-149.5833333,Oceanic,Austronesian,,,tî
taq,Taiwanese,2,2,Words derived from Min Nan Chinese te,25,121.5,Chinese,Sino-Tibetan,tê,茶,茶 (tê)
taj,Tajik,1,0,Words derived from Sinitic cha,38.66666667,70,Iranian,Indo-European,čoy,чой,чой (čoy)
Takia,Takia,2,2,,-4.66667,146,,Austronesian,ti,,ti
Talu,Taliu,,,,26.55219217,100.8467043,,Sino-Tibetan,lu̱²¹,,
tam,Tamil,2,2,,10.52,78.83,,Dravidian,t̪eniːɾ,தேநீர்,தேநீர் (t̪eniːɾ)
Tangkhul,Tangkhul,,,,25.1167,94.3667,,Sino-Tibetan,cha,,
TangnianYangAn,Tangnian,,,,25.58369,107.801479,,Tai-Kadai,se²,,
tvo,Tatar,1,0,Words derived from Sinitic cha,56,49.5,Turkic,Altaic,t͡ɕæj,чәй,чәй (t͡ɕæj)
tel,Telugu,2,2,Words derived from Min Nan Chinese te,16,79,South-Central Dravidian,Dravidian,t̪eːn̪iːru,తేనీరు,తేనీరు (t̪eːn̪iːru)
tha,Thai,1,1,Words derived from Sinitic cha,16,101,Kam-Tai,Tai-Kadai,chaa,ชา,ชา (chaa)
tib,Tibetan,1,1,Words derived from Sinitic cha,30,91,Bodic,Sino-Tibetan,ja,ཇ་,ཇ་ (ja)
tiw,Tiwi,3,3,Others,-11.5,131,Tiwian,Tiwian,mangala,maŋal̥a,maŋal̥a
Toloza,Toloza,,,,26.62042438,100.0342986,,Sino-Tibetan,dʐɤ²¹,,
ddo,Tsez,1,0,,42.26,45.81,,Nakh-Daghestanian,t͡ʃaj,, (t͡ʃaj)
tsw,Tswana,2,2,Words derived from Min Nan Chinese te,-24,26,Bantoid,Niger-Congo,,tee,tee
yrk,Tundra Nenets,,,,66.18,71.02,,Uralic,sʲɑj,,
tun,Tunica,3,3,Others,32.66666667,-91,Tunica,Tunica,,,Other Variant
Tuoluo,Tuoluo,,,,23.3833337,102.1839821,,Sino-Tibetan,djɔ35,,
tur,Turkish,1,0,Words derived from Sinitic cha,39,35,Turkic,Altaic,t͡ʃaj,çay,çay
tkm,Turkmen,1,0,Words derived from Sinitic cha,40,58,Turkic,Altaic,,çaý,çaý
tuv,Tuvan,1,0,Words derived from Sinitic cha,52,95,Turkic,Altaic,,шай,шай ()
udm,Udmurt,1,0,Words derived from Sinitic cha,57.5,52.5,Permic,Uralic,t͡ɕɑj,чай,чай (t͡ɕɑj)
ukr,Ukrainian,1,0,Words derived from Sinitic cha,49,33,Slavic,Indo-European,ʈ͡ʂɑj,чай,чай (ʈ͡ʂɑj)
uyg,Uyghur,1,0,Words derived from Sinitic cha,40,80,Turkic,Altaic,chay,چاي,چاي (chay)
uzb,Uzbek,1,0,Words derived from Sinitic cha,39,66,Turkic,Altaic,t͡ʃɒj,choy,choy
vep,Veps,1,0,,60.34,34.79,,Uralic,t͡ʃɑi,čaj,čaj
vie,Vietnamese,1,1,Words derived from Sinitic cha,10.5,106.5,Viet-Muong,Austro-Asiatic,chè,trà,trà
wam,Wambaya,3,3,Others,-18.66666667,135.75,Wambayan,Mirndi,,nyanyalu,nyanyalu
wel,Welsh,2,2,Words derived from Min Nan Chinese te,52,-3,Celtic,Indo-European,tɛ,te,te
Wenzhou,Wenzhou,,,,28.005496,120.701179,,Sino-Tibetan,dzo³¹,,
WhiteHmong,White Hmong,,,,26,105,,Hmong-Mien,tshuaj_yej,,
Wichi,Wichí,,,,-22.5,-62.5833,,Matacoan,kusilu,,
wlo,Wolio,2,2,Words derived from Min Nan Chinese te,-5.5,122.75,Celebic,Austronesian,,,Variant of te
wlf,Wolof,3,3,Others,15.25,-16,Northern Atlantic,Niger-Congo,,àttaaya,àttaaya
xho,Xhosa,2,2,Words derived from Min Nan Chinese te,-32,27,Bantoid,Niger-Congo,,iti,iti
XiAn,Xi_an,,,,34.228154,108.960571,,Sino-Tibetan,tsʰɑ²⁴,,
Xiamen,Xiamen,,,,24.49421,118.08918,,Sino-Tibetan,te²⁴,,
EasternXiangxi,"Xiangxi, East",,,,28.124036,109.890473,,Hmong-Mien,dʑi⁵⁵,,
WesternXiangxi,"Xiangxi, West",,,,28.33212,109.422366,,Hmong-Mien,ci²²,,
Xiangyun,Xiangyun,,,,25.5313657,100.4478932,,Sino-Tibetan,tso²¹,,
Xuzhang,Xuzhang,,,,25.344026,99.112244,,Sino-Tibetan,sɿ³³pʰɛi³³,,
ykt,Yakut,1,0,Words derived from Sinitic cha,62,130,Turkic,Altaic,chai,чэй,чэй (chai)
Yangjiang,Yangjiang,,,,21.7895612,111.966667,,Sino-Tibetan,tʃʰa⁴⁴³,,
Yangliu,Yangliu,,,,25.22482,99.046326,,Sino-Tibetan,la²¹ɣɨ³³,,
Yangzhou,Yangzhou,,,,32.4171449,119.209227,,Sino-Tibetan,tʂʰɑ³⁴,,
Yaqui,Yaqui,2,2,,27.5,-110.25,,Uto-Aztecan,te,,te
yms,Yemsa,1,1,Words derived from Sinitic cha,7.833333333,37.33333333,North Omotic,Afro-Asiatic,,,Variant of cha/chai
Yijiacun,Yijiacun,,,,23.475,99.865,,Sino-Tibetan,la²¹,,
Yino,Yino,,,,28.32864,103.1321792,,Sino-Tibetan,la̱²⁵,,
yor,Yoruba,2,2,Words derived from Min Nan Chinese te,8,4.333333333,Defoid,Niger-Congo,,tii,tii
Younuo,Younuo,,,,25.730893,110.115975,,Hmong-Mien,ki³²,,
Yunlong,Yunlong,,,,25.9223745,99.0352884,,Sino-Tibetan,tsao²¹,,
ypk,Yup'ik (Central),1,1,Words derived from Sinitic cha,59.5,-160,Eskimo,Eskimo-Aleut,qajuq,,qajuq
ZaoMin,Zao Min,,,,24.612303,112.266749,,Hmong-Mien,ta⁵³,,
zar,Zarma,3,3,Others,13.83333333,2.166666667,Songhay,Songhay,,,Other Variant
Zeme,Zeme,,,,25.1833,93.2,,Sino-Tibetan,sa,,
Zhoucheng,Zhoucheng,,,,25.8958633,100.0987848,,Sino-Tibetan,tsɔ²¹,,
zqc,Zoque (Copainalá),3,3,Others,17,-93.25,Mixe-Zoque,Mixe-Zoque,,,Other Variant
zul,Zulu,3,3,Others,-30,30,Bantoid,Niger-Congo,,itiye,itiye
GanziDanbarGyalrong,rGyalrong (Ganzi Danba Badi Munashan),,,,31.060903,101.855001,,Sino-Tibetan,ˊtə_tɕə,,
JinchuanErkairGyalrong,rGyalrong (Jinchuan Erkai),,,,31.464691,101.341027,,Sino-Tibetan,dʑɑʔ,,
JinchuanGuaninqiaorGyalrong,rGyalrong (Jinchuan Guaninqiao Wobzi),,,,31.639053,101.445432,,Sino-Tibetan,dʑɑ́,,
LixianXuechengrGyalrong,rGyalrong (Lixian Xuecheng Jiamizhai),,,,31.617273,103.276061,,Sino-Tibetan,tʂʰᴇ,,
MaerkangCaodengrGyalrong,rGyalrong (Maerkang Caodeng (B)),,,,32.209102,101.832718,,Sino-Tibetan,ʤe22,,
MaerkangJaphugrGyalrong,rGyalrong (Maerkang Japhug Shaerzong (B)),,,,32.159653,102.159643,,Sino-Tibetan,tʂha,,
MaerkangSomanrGyalrong,rGyalrong (Maerkang Soman),,,,31.864114,102.484959,,Sino-Tibetan,tʂʰa,,
